CRN1,SUBJECT,COURSE_TITLE,PROF,MEET_DAYS,CLASS_TIME,ROOM,MAX_ENROLL,CURR_ENROLL,OPEN_SEATS,REQUIREMENT,NOTES
60097,CHE 230-B,Intro to Biological Chemistry,Myers J,  T  R  ,0950 - 1105am,WALL 106,16,0,16,NSRQ,"PRQ,H,HL"
60098,CHE 240-A,Intro to Inorganic Chemistry,Striplin D, M     ,0110 - 0400pm,WALL 235,16,0,16,NSRQ,"PRQ,F,FL"
60098,CHE 240-A,Intro to Inorganic Chemistry,Striplin D,  T  R  ,0815 - 0930am,WALL 243,16,0,16,NSRQ,"PRQ,F,FL"
60099,CHE 240-B,Intro to Inorganic Chemistry,Striplin D,  T    ,0110 - 0400pm,WALL 235,16,0,16,NSRQ,"PRQ,F,FL"
60099,CHE 240-B,Intro to Inorganic Chemistry,Striplin D,  T  R  ,0815 - 0930am,WALL 243,16,0,16,NSRQ,"PRQ,F,FL"
60100,CHE 250-A,Intro to Organic Chemistry,Carroll F,    R  ,0815 - 1055am,WALL 310,14,0,14,NSRQ,"PRQ,H,HL"
60100,CHE 250-A,Intro to Organic Chemistry,Carroll F, M  W  F ,1050 - 1140am,WALL 320,14,0,14,NSRQ,"PRQ,H,HL"
60101,CHE 250-B,Intro to Organic Chemistry,Carroll F,    R  ,0110 - 0400pm,WALL 310,14,0,14,NSRQ,"PRQ,H,HL"
60101,CHE 250-B,Intro to Organic Chemistry,Carroll F, M  W  F ,1050 - 1140am,WALL 320,14,0,14,NSRQ,"PRQ,H,HL"
60102,CHE 250-C,Intro to Organic Chemistry,Carroll F,     F ,0110 - 0400pm,WALL 310,14,0,14,NSRQ,"PRQ,H,HL"
60102,CHE 250-C,Intro to Organic Chemistry,Carroll F, M  W  F ,1050 - 1140am,WALL 320,14,0,14,NSRQ,"PRQ,H,HL"
60103,CHE 320-0,Experimental Analytical Chem,Hauser C,   W   ,0110 - 0400pm,WALL 351,12,0,12,NONE,"PRQ,F,FL"
60103,CHE 320-0,Experimental Analytical Chem,Hauser C,  T    ,0110 - 0400pm,WALL 351,12,0,12,NONE,"PRQ,F,FL"
60104,CHE 350-A,Experimental Organic Chem,Stevens E,      ,TBA , ,12,0,12,NONE,"PRQ,O,OL"
60104,CHE 350-A,Experimental Organic Chem,Stevens E, M  W  F ,0830 - 0920am, ,12,0,12,NONE,"PRQ,O,OL"
60105,CHE 350-B,Experimental Organic Chem,Stevens E,      ,TBA , ,12,0,12,NONE,"PRQ,O,OL"
60105,CHE 350-B,Experimental Organic Chem,Stevens E, M  W  F ,0830 - 0920am, ,12,0,12,NONE,"PRQ,O,OL"
60106,CHE 350-C,Experimental Organic Chem,Key H,  T    ,0110 - 0400pm,WALL 310,12,0,12,NONE,"PRQ,H,HL"
60106,CHE 350-C,Experimental Organic Chem,Key H, M  W  F ,1050 - 1140am,WALL 243,12,0,12,NONE,"PRQ,H,HL"
60107,CHE 350-D,Experimental Organic Chem,Key H,   W   ,0110 - 0400pm,WALL 310,12,0,12,NONE,"PRQ,H,HL"
60107,CHE 350-D,Experimental Organic Chem,Key H, M  W  F ,1050 - 1140am,WALL 243,12,0,12,NONE,"PRQ,H,HL"
